0600000: 
	(持股天数：84,	盈利(元):-1.71,	收益：-14.72%,	年化收益：-41.34%)
	(持股天数：84,	盈利(元):0.06,	收益：0.58%,	年化收益：1.64%)
	(持股天数：137,	盈利(元):1.69,	收益：15.24%,	年化收益：26.25%)
	(持股天数：62,	盈利(元):-0.20,	收益：-1.88%,	年化收益：-7.14%)
	(持股天数：15,	盈利(元):1.56,	收益：14.79%,	年化收益：232.64%)
	(持股天数：24,	盈利(元):0.01,	收益：0.11%,	年化收益：1.04%)
	(持股天数：129,	盈利(元):-1.94,	收益：-17.62%,	年化收益：-32.24%)
	(持股天数：43,	盈利(元):0.05,	收益：0.59%,	年化收益：3.22%)
	(持股天数：86,	盈利(元):-0.73,	收益：-8.44%,	年化收益：-23.16%)
	(持股天数：10,	盈利(元):0.12,	收益：1.69%,	年化收益：39.94%)
总持股天数：674,	总盈利(元):-1.09,	总收益：-14.00%,	总年化收益：-4.90%

0600004: 
	(持股天数：215,	盈利(元):-3.44,	收益：-22.04%,	年化收益：-24.19%)
	(持股天数：116,	盈利(元):-4.22,	收益：-22.71%,	年化收益：-46.21%)
	(持股天数：75,	盈利(元):1.05,	收益：7.33%,	年化收益：23.06%)
	(持股天数：25,	盈利(元):-0.98,	收益：-7.27%,	年化收益：-68.63%)
	(持股天数：101,	盈利(元):-2.33,	收益：-18.16%,	年化收益：-42.43%)
	(持股天数：42,	盈利(元):0.11,	收益：0.90%,	年化收益：5.06%)
总持股天数：574,	总盈利(元):-9.81,	总收益：-50.48%,	总年化收益：-20.75%

0600006: 
	(持股天数：137,	盈利(元):-1.14,	收益：-22.75%,	年化收益：-39.20%)
	(持股天数：15,	盈利(元):0.42,	收益：12.80%,	年化收益：201.46%)
	(持股天数：43,	盈利(元):-0.09,	收益：-1.97%,	年化收益：-10.83%)
	(持股天数：10,	盈利(元):0.43,	收益：10.91%,	年化收益：257.56%)
	(持股天数：9,	盈利(元):3.62,	收益：62.85%,	年化收益：1647.99%)
	(持股天数：54,	盈利(元):-0.15,	收益：-2.15%,	年化收益：-9.38%)
	(持股天数：50,	盈利(元):-0.26,	收益：-3.67%,	年化收益：-17.31%)
	(持股天数：79,	盈利(元):3.00,	收益：49.59%,	年化收益：148.13%)
总持股天数：397,	总盈利(元):5.83,	总收益：117.55%,	总年化收益：69.88%

0600007: 
	(持股天数：3,	盈利(元):0.55,	收益：3.20%,	年化收益：251.40%)
	(持股天数：31,	盈利(元):-1.43,	收益：-9.01%,	年化收益：-68.55%)
	(持股天数：164,	盈利(元):-0.43,	收益：-2.90%,	年化收益：-4.18%)
	(持股天数：37,	盈利(元):0.25,	收益：1.74%,	年化收益：11.12%)
	(持股天数：94,	盈利(元):-1.07,	收益：-7.29%,	年化收益：-18.30%)
	(持股天数：24,	盈利(元):3.01,	收益：19.31%,	年化收益：189.85%)
	(持股天数：28,	盈利(元):-0.67,	收益：-4.39%,	年化收益：-36.98%)
	(持股天数：6,	盈利(元):1.18,	收益：9.36%,	年化收益：368.07%)
总持股天数：387,	总盈利(元):1.39,	总收益：7.29%,	总年化收益：4.45%

0600008: 
	(持股天数：55,	盈利(元):-0.23,	收益：-5.81%,	年化收益：-24.92%)
	(持股天数：7,	盈利(元):0.24,	收益：7.08%,	年化收益：238.69%)
	(持股天数：43,	盈利(元):0.01,	收益：0.26%,	年化收益：1.40%)
	(持股天数：10,	盈利(元):0.02,	收益：0.61%,	年化收益：14.35%)
	(持股天数：68,	盈利(元):-0.03,	收益：-0.90%,	年化收益：-3.13%)
	(持股天数：29,	盈利(元):0.17,	收益：5.56%,	年化收益：45.21%)
	(持股天数：27,	盈利(元):0.09,	收益：3.01%,	年化收益：26.31%)
	(持股天数：19,	盈利(元):-0.09,	收益：-3.08%,	年化收益：-38.28%)
	(持股天数：40,	盈利(元):0.70,	收益：22.51%,	年化收益：132.80%)
总持股天数：298,	总盈利(元):0.88,	总收益：30.15%,	总年化收益：23.88%

0600009: 
	(持股天数：81,	盈利(元):8.44,	收益：19.12%,	年化收益：55.70%)
	(持股天数：42,	盈利(元):-5.99,	收益：-9.71%,	年化收益：-54.56%)
	(持股天数：71,	盈利(元):4.20,	收益：8.79%,	年化收益：29.21%)
	(持股天数：152,	盈利(元):-3.48,	收益：-4.47%,	年化收益：-6.94%)
	(持股天数：31,	盈利(元):10.81,	收益：15.62%,	年化收益：118.94%)
	(持股天数：27,	盈利(元):-2.00,	收益：-2.74%,	年化收益：-23.91%)
	(持股天数：74,	盈利(元):-7.68,	收益：-13.13%,	年化收益：-41.88%)
	(持股天数：18,	盈利(元):3.13,	收益：8.18%,	年化收益：107.26%)
	(持股天数：45,	盈利(元):-3.30,	收益：-6.24%,	年化收益：-32.71%)
	(持股天数：68,	盈利(元):5.75,	收益：11.52%,	年化收益：39.99%)
总持股天数：609,	总盈利(元):9.88,	总收益：23.52%,	总年化收益：9.11%

0600010: 
	(持股天数：60,	盈利(元):-0.48,	收益：-19.20%,	年化收益：-75.52%)
	(持股天数：41,	盈利(元):-0.04,	收益：-2.34%,	年化收益：-13.46%)
	(持股天数：110,	盈利(元):-0.23,	收益：-13.53%,	年化收益：-29.03%)
	(持股天数：37,	盈利(元):0.06,	收益：4.69%,	年化收益：29.90%)
	(持股天数：107,	盈利(元):0.08,	收益：7.02%,	年化收益：15.48%)
	(持股天数：130,	盈利(元):-0.63,	收益：-23.51%,	年化收益：-42.68%)
总持股天数：485,	总盈利(元):-1.24,	总收益：-41.53%,	总年化收益：-20.21%

0600011: 
	(持股天数：48,	盈利(元):0.68,	收益：11.24%,	年化收益：55.26%)
	(持股天数：77,	盈利(元):-0.41,	收益：-6.55%,	年化收益：-20.07%)
	(持股天数：106,	盈利(元):-0.19,	收益：-3.89%,	年化收益：-8.67%)
	(持股天数：133,	盈利(元):-0.50,	收益：-11.04%,	年化收益：-19.59%)
	(持股天数：17,	盈利(元):2.30,	收益：39.45%,	年化收益：547.67%)
	(持股天数：148,	盈利(元):0.84,	收益：11.10%,	年化收益：17.69%)
总持股天数：529,	总盈利(元):2.72,	总收益：37.70%,	总年化收益：16.82%

0600012: 
	(持股天数：88,	盈利(元):-2.84,	收益：-24.89%,	年化收益：-66.75%)
	(持股天数：95,	盈利(元):0.19,	收益：3.19%,	年化收益：7.92%)
	(持股天数：29,	盈利(元):-0.39,	收益：-5.94%,	年化收益：-48.31%)
	(持股天数：151,	盈利(元):-0.10,	收益：-1.70%,	年化收益：-2.66%)
	(持股天数：36,	盈利(元):0.12,	收益：1.97%,	年化收益：12.94%)
	(持股天数：14,	盈利(元):0.31,	收益：5.43%,	年化收益：91.52%)
	(持股天数：55,	盈利(元):-0.03,	收益：-0.40%,	年化收益：-1.73%)
总持股天数：468,	总盈利(元):-2.74,	总收益：-23.27%,	总年化收益：-11.73%

0600015: 
	(持股天数：10,	盈利(元):0.07,	收益：0.79%,	年化收益：18.67%)
	(持股天数：60,	盈利(元):0.57,	收益：7.88%,	年化收益：31.01%)
	(持股天数：109,	盈利(元):0.30,	收益：4.12%,	年化收益：8.91%)
	(持股天数：88,	盈利(元):-1.20,	收益：-15.79%,	年化收益：-42.34%)
	(持股天数：10,	盈利(元):-0.05,	收益：-0.79%,	年化收益：-18.76%)
	(持股天数：13,	盈利(元):-0.03,	收益：-0.48%,	年化收益：-8.67%)
	(持股天数：46,	盈利(元):-0.66,	收益：-10.59%,	年化收益：-54.35%)
	(持股天数：44,	盈利(元):0.00,	收益：0.00%,	年化收益：0.00%)
总持股天数：380,	总盈利(元):-1.00,	总收益：-15.84%,	总年化收益：-9.84%

0600016: 
	(持股天数：128,	盈利(元):-1.89,	收益：-23.62%,	年化收益：-43.56%)
	(持股天数：28,	盈利(元):0.22,	收益：3.84%,	年化收益：32.36%)
